"","month","carrier","carrier_name","total_flights","total_delays","total_cancels","total_diversions","total_carrier_delay_mins","total_weather_delay_mins","total_nas_delay_mins","total_security_delay_mins","total_lateaircraft_delay_mins","total_airports"
"1",1,"AA","American Airlines Inc.",75580,12444,2720,124,292253,36255,147387,1440,218133,95
"2",1,"DL","Delta Air Lines Inc.",69711,9234,974,88,228514,61263,133927,151,164158,148
"3",1,"EV","ExpressJet Airlines Inc.",41970,6375,1427,95,167003,10657,84977,0,140180,163
"4",1,"OO","SkyWest Airlines Inc.",47619,9499,984,194,214133,27413,135898,744,273268,183
"5",1,"UA","United Air Lines Inc.",39761,5571,1336,56,123659,16681,88045,46,114689,86
"6",1,"WN","Southwest Airlines Co.",104154,14103,2640,179,216252,24347,100773,1160,313317,86
"7",2,"AA","American Airlines Inc.",71440,10999,1003,137,220116,32547,187327,1012,212412,95
"8",2,"DL","Delta Air Lines Inc.",67771,8720,313,169,215444,57588,147797,341,177281,150
"9",2,"EV","ExpressJet Airlines Inc.",39926,7013,1465,120,178734,6351,110042,0,177466,160
"10",2,"OO","SkyWest Airlines Inc.",45616,7025,1092,131,166784,21603,97369,597,202763,183
"11",2,"UA","United Air Lines Inc.",38944,4957,348,59,104276,23789,111286,0,134376,83
"12",2,"WN","Southwest Airlines Co.",97225,10244,1415,168,159542,30925,82680,604,235116,86
"13",3,"AA","American Airlines Inc.",79119,14702,431,174,282436,33287,210297,3048,313199,92
"14",3,"DL","Delta Air Lines Inc.",78210,9300,58,142,232842,28200,135988,404,161981,148
"15",3,"EV","ExpressJet Airlines Inc.",44584,6838,611,143,174018,10004,111417,0,165866,165
"16",3,"OO","SkyWest Airlines Inc.",52057,9683,1214,189,209060,25003,145995,782,277028,188
"17",3,"UA","United Air Lines Inc.",44250,7799,483,77,159701,20147,136767,38,221361,86
"18",3,"WN","Southwest Airlines Co.",112003,19649,1278,217,249705,43077,166413,1226,467996,86
"19",4,"AA","American Airlines Inc.",74859,11513,660,170,231551,35443,179911,1105,229446,92
"20",4,"DL","Delta Air Lines Inc.",76607,7294,53,94,217190,17549,95763,118,124134,146
"21",4,"EV","ExpressJet Airlines Inc.",40773,5118,623,90,139970,6199,81890,0,109079,166
"22",4,"OO","SkyWest Airlines Inc.",50117,6376,694,88,146750,14301,75419,234,163770,196
"23",4,"UA","United Air Lines Inc.",43281,5718,650,81,116888,13543,95872,0,160939,87
"24",4,"WN","Southwest Airlines Co.",107855,19055,968,184,247729,36742,159559,1609,471430,86
"25",5,"AA","American Airlines Inc.",78678,14440,493,263,299722,68842,222815,1584,311242,88
"26",5,"DL","Delta Air Lines Inc.",80556,9005,39,118,244975,21451,106623,483,145811,145
"27",5,"EV","ExpressJet Airlines Inc.",41294,6249,452,133,162948,11246,108684,0,135952,158
"28",5,"OO","SkyWest Airlines Inc.",51253,7196,305,151,149825,19108,109864,600,199351,196
"29",5,"UA","United Air Lines Inc.",45914,7052,247,172,141564,24531,119899,0,197833,85
"30",5,"WN","Southwest Airlines Co.",109847,19602,610,390,242238,55551,156518,1615,494461,86
